date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:20:46	1002/1002	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:44%20GMT	https://p.w3layouts.com/robots.txt		(from )
16:20:48	7160/7160	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:46%20GMT	https://p.w3layouts.com/demos/shipment_track/web/	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/demos/shipment_track/web/index.html	(from )
16:20:49	6928/6928	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:59%20GMT	https://p.w3layouts.com/demos/shipment_track/web/css/style.css	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/demos/shipment_track/web/css/style.css	(from https://p.w3layouts.com/demos/shipment_track/web/)
16:20:51	57484/57484	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f9bdb97644924c0f91b6718e5e68001e%22	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/asdasd/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos/shipment_track/web/)
16:20:53	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/My%20Web%20Sites/asdasd/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://p.w3layouts.com/demos/shipment_track/web/)
16:20:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Jul%202020%2008:20:49%20GMT	https://codefund.io/properties/441/funder.js	C:/My%20Web%20Sites/asdasd/codefund.io/properties/441/funder.3.delayed	(from https://p.w3layouts.com/demos/shipment_track/web/)
16:20:53	24793/24793	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2008%20Oct%202019%2013:27:18%20GMT	https://p.w3layouts.com/js/autotrack.js	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/js/autotrack.js	(from https://p.w3layouts.com/demos/shipment_track/web/)
16:20:54	3159/3159	---MCZ	200	added ('OK')	text/css	date:Wed,%2004%20Dec%202019%2014:18:46%20GMT	https://p.w3layouts.com/images/demobar_w3_4thDec2019.css	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/images/demobar_w3_4thDec2019.css	(from https://p.w3layouts.com/demos/shipment_track/web/)
16:20:54	3644/3644	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:59%20GMT	https://p.w3layouts.com/demos/shipment_track/web/images/confirm.png	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/demos/shipment_track/web/images/confirm.png	(from https://p.w3layouts.com/demos/shipment_track/web/)
16:20:54	572/572	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:59%20GMT	https://p.w3layouts.com/demos/shipment_track/web/images/process.png	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/demos/shipment_track/web/images/process.png	(from https://p.w3layouts.com/demos/shipment_track/web/)
16:20:55	496/496	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:59%20GMT	https://p.w3layouts.com/demos/shipment_track/web/images/quality.png	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/demos/shipment_track/web/images/quality.png	(from https://p.w3layouts.com/demos/shipment_track/web/)
16:20:55	479/479	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:59%20GMT	https://p.w3layouts.com/demos/shipment_track/web/images/dispatch.png	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/demos/shipment_track/web/images/dispatch.png	(from https://p.w3layouts.com/demos/shipment_track/web/)
16:20:56	602/602	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:59%20GMT	https://p.w3layouts.com/demos/shipment_track/web/images/delivery.png	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/demos/shipment_track/web/images/delivery.png	(from https://p.w3layouts.com/demos/shipment_track/web/)
16:20:56	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:53%20GMT	https://p.w3layouts.com/images/W3Layouts-light.png	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/images/W3Layouts-light.html	(from https://p.w3layouts.com/images/demobar_w3_4thDec2019.css)
16:20:57	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:54%20GMT	https://p.w3layouts.com/assets/css/fonts/linecons/css/linecons.css	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/css/fonts/linecons/css/linecons.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
16:20:57	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:54%20GMT	https://p.w3layouts.com/assets/css/fonts/fontawesome/css/font-awesome.min.css	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/css/fonts/fontawesome/css/font-awesome.min.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
16:20:57	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:55%20GMT	https://p.w3layouts.com/assets/css/bootstrap.css	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/css/bootstrap.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
16:20:58	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:55%20GMT	https://p.w3layouts.com/assets/css/xenon-core.css	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/css/xenon-core.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
16:20:58	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:56%20GMT	https://p.w3layouts.com/assets/css/xenon-forms.css	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/css/xenon-forms.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
16:20:59	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:56%20GMT	https://p.w3layouts.com/assets/css/xenon-components.css	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/css/xenon-components.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
16:20:59	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:57%20GMT	https://p.w3layouts.com/assets/css/xenon-skins.css	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/css/xenon-skins.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
16:21:00	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:57%20GMT	https://p.w3layouts.com/assets/css/custom.css	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/css/custom.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
16:21:00	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:57%20GMT	https://p.w3layouts.com/assets/js/jquery-1.11.1.min.js	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/js/jquery-1.11.1.min.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
16:21:01	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:58%20GMT	https://p.w3layouts.com/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/js/bootstrap.min.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
16:21:01	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:58%20GMT	https://p.w3layouts.com/assets/js/TweenMax.min.js	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/js/TweenMax.min.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
16:21:01	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:59%20GMT	https://p.w3layouts.com/assets/js/resizeable.js	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/js/resizeable.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
16:21:02	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:20:59%20GMT	https://p.w3layouts.com/assets/js/joinable.js	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/js/joinable.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
16:21:02	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:21:00%20GMT	https://p.w3layouts.com/assets/js/xenon-api.js	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/js/xenon-api.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
16:21:03	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:21:00%20GMT	https://p.w3layouts.com/assets/js/xenon-toggles.js	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/js/xenon-toggles.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
16:21:04	2529/2529	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jul%202020%2008:21:01%20GMT	https://p.w3layouts.com/assets/js/xenon-custom.js	C:/My%20Web%20Sites/asdasd/p.w3layouts.com/assets/js/xenon-custom.html	(from https://p.w3layouts.com/images/W3Layouts-light.png)
